"id","term","slug","url","status","categories","synonyms","keywords","author","updated_at","image","image_alt","related_terms","internal_links","source_file"
"80s-luxury","80s Luxury","80s-luxury","https://eskyna.com/glossar/80s-luxury/","published","Stil & Wirkung","","80s luxury; 80er luxus; power suit stil","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/80s-luxury.png","Glossar-Illustration zu 80s Luxury","Schulterpolster (https://eskyna.com/glossar/schulterpolster/); Glamoratti (https://eskyna.com/glossar/glamoratti/); Gold (https://eskyna.com/glossar/gold/); Blazer (https://eskyna.com/glossar/blazer/); Executive Presence (https://eskyna.com/glossar/executive-presence/)","https://eskyna.com/glossar/blazer/; https://eskyna.com/glossar/executive-presence/; https://eskyna.com/glossar/glamoratti/; https://eskyna.com/glossar/gold/; https://eskyna.com/glossar/kategorie/stil-wirkung/; https://eskyna.com/glossar/schulterpolster/; https://eskyna.com/praesenz/","content/de/glossar/80s-luxury.md"
"a-linie","A-Linie","a-linie","https://eskyna.com/glossar/a-linie/","published","Schnitt, Proportion & Passform","","a-linie; was bedeutet a-linie; a-linien kleid; a-linien rock","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/a-linie.png","Editoriale Grafik mit stilisierter A-Linie als Kleidform und feinen Proportionslinien","Silhouette (https://eskyna.com/glossar/silhouette/); Proportion (https://eskyna.com/glossar/proportion/); Passform (https://eskyna.com/glossar/passform/); Rocklänge (https://eskyna.com/glossar/rocklange/); Culotte (https://eskyna.com/glossar/culotte/)","https://eskyna.com/glossar/kategorie/schnitt-proportion-passform/; https://eskyna.com/stilfrage/","content/de/glossar/a-linie.md"
"a-linien-kleid","A-Linien-Kleid","a-linien-kleid","https://eskyna.com/glossar/a-linien-kleid/","published","Garderobe & Alltag","","a-linien-kleid; was bedeutet a-linien-kleid; a-linien-kleid stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/a-linien-kleid.png","Editoriale Glossar-Grafik zu A-Linien-Kleid mit ruhigen Farbfeldern und feiner Linienführung","Capsule Wardrobe (https://eskyna.com/glossar/capsule-wardrobe/); Garderobenlogik (https://eskyna.com/glossar/garderobenlogik/); Outfit-Formel (https://eskyna.com/glossar/outfit-formel/); Key-Piece (https://eskyna.com/glossar/key-piece/); Fehlkauf (https://eskyna.com/glossar/fehlkauf/)","https://eskyna.com/glossar/capsule-wardrobe/; https://eskyna.com/glossar/fehlkauf/; https://eskyna.com/glossar/garderobenlogik/; https://eskyna.com/glossar/kategorie/garderobe-alltag/; https://eskyna.com/glossar/key-piece/; https://eskyna.com/glossar/outfit-formel/; https://eskyna.com/stilgarderobe/","content/de/glossar/a-linien-kleid.md"
"a-linien-rock","A-Linien-Rock","a-linien-rock","https://eskyna.com/glossar/a-linien-rock/","published","Garderobe & Alltag","","a-linien-rock; was bedeutet a-linien-rock; a-linien-rock stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/a-linien-rock.png","Editoriale Glossar-Grafik zu A-Linien-Rock mit ruhigen Farbfeldern und feiner Linienführung","Capsule Wardrobe (https://eskyna.com/glossar/capsule-wardrobe/); Garderobenlogik (https://eskyna.com/glossar/garderobenlogik/); Outfit-Formel (https://eskyna.com/glossar/outfit-formel/); Key-Piece (https://eskyna.com/glossar/key-piece/); Fehlkauf (https://eskyna.com/glossar/fehlkauf/)","https://eskyna.com/glossar/capsule-wardrobe/; https://eskyna.com/glossar/fehlkauf/; https://eskyna.com/glossar/garderobenlogik/; https://eskyna.com/glossar/kategorie/garderobe-alltag/; https://eskyna.com/glossar/key-piece/; https://eskyna.com/glossar/outfit-formel/; https://eskyna.com/stilgarderobe/","content/de/glossar/a-linien-rock.md"
"abendgarderobe","Abendgarderobe","abendgarderobe","https://eskyna.com/glossar/abendgarderobe/","published","Garderobe & Alltag","","abendgarderobe; was bedeutet abendgarderobe; abendgarderobe stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/abendgarderobe.png","Editoriale Glossar-Grafik zu Abendgarderobe mit ruhigen Farbfeldern und feiner Linienführung","Capsule Wardrobe (https://eskyna.com/glossar/capsule-wardrobe/); Garderobenlogik (https://eskyna.com/glossar/garderobenlogik/); Outfit-Formel (https://eskyna.com/glossar/outfit-formel/); Key-Piece (https://eskyna.com/glossar/key-piece/); Fehlkauf (https://eskyna.com/glossar/fehlkauf/)","https://eskyna.com/glossar/capsule-wardrobe/; https://eskyna.com/glossar/fehlkauf/; https://eskyna.com/glossar/garderobenlogik/; https://eskyna.com/glossar/kategorie/garderobe-alltag/; https://eskyna.com/glossar/key-piece/; https://eskyna.com/glossar/outfit-formel/; https://eskyna.com/stilgarderobe/","content/de/glossar/abendgarderobe.md"
"abendkleid","Abendkleid","abendkleid","https://eskyna.com/glossar/abendkleid/","published","Dresscodes & Anlässe","","abendkleid; was ist ein abendkleid; festliches kleid","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/abendkleid.png","Editoriale ESKYNA Grafik zum Glossarbegriff Abendkleid mit ruhigen Formen und feinen Farbfeldern","Dresscode (https://eskyna.com/glossar/dresscode/); Cocktailkleid (https://eskyna.com/glossar/cocktailkleid/); Glanzgrad (https://eskyna.com/glossar/glanzgrad/); Seide (https://eskyna.com/glossar/seide/)","https://eskyna.com/glossar/kategorie/dresscodes-anlaesse/; https://eskyna.com/praesenz/","content/de/glossar/abendkleid.md"
"abnaeher","Abnäher","abnaeher","https://eskyna.com/glossar/abnaeher/","published","Schnitt, Proportion & Passform","","abnäher; was bedeutet abnäher; abnäher stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/abnaeher.png","Editoriale Glossar-Grafik zu Abnäher mit ruhigen Farbfeldern und feiner Linienführung","Passform (https://eskyna.com/glossar/passform/); Silhouette (https://eskyna.com/glossar/silhouette/); Proportion (https://eskyna.com/glossar/proportion/); Saumlänge (https://eskyna.com/glossar/saumlange/); Taillierung (https://eskyna.com/glossar/taillierung/)","https://eskyna.com/glossar/kategorie/schnitt-proportion-passform/; https://eskyna.com/glossar/passform/; https://eskyna.com/glossar/proportion/; https://eskyna.com/glossar/saumlange/; https://eskyna.com/glossar/silhouette/; https://eskyna.com/glossar/taillierung/; https://eskyna.com/stilfrage/","content/de/glossar/abnaeher.md"
"accessoire","Accessoire","accessoire","https://eskyna.com/glossar/accessoire/","published","Materialien & Details","","accessoire; was ist ein accessoire; accessoires kombinieren; outfit accessoires","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/accessoire.png","Editoriale Grafik mit Tasche, Schmuckkreis, Gürtel und ruhigen Akzentflächen","Feinschmuck (https://eskyna.com/glossar/feinschmuck/); Brille (https://eskyna.com/glossar/brille/); Schal (https://eskyna.com/glossar/schal/); Tote Bag (https://eskyna.com/glossar/tote-bag/); Gürtel (https://eskyna.com/glossar/guertel/); Statement-Piece (https://eskyna.com/glossar/statement-piece/); Outfit-Formel (https://eskyna.com/glossar/outfit-formel/); Kontrast (https://eskyna.com/glossar/kontrast/); Farbtyp (https://eskyna.com/glossar/farbtyp/); Quiet Luxury (https://eskyna.com/glossar/quiet-luxury/); Metallic (https://eskyna.com/glossar/metallic/); Gold (https://eskyna.com/glossar/gold/); Silber (https://eskyna.com/glossar/silber/)","https://eskyna.com/glossar/kategorie/materialien-details/; https://eskyna.com/stilfrage/","content/de/glossar/accessoire.md"
"acetat","Acetat","acetat","https://eskyna.com/glossar/acetat/","published","Materialien & Details","","acetat; was ist acetat; acetat","Natalia Kleemann","2026-07-18","https://eskyna.com/images/glossar/acetat.png","Glossar-Illustration zu Acetat","","","content/de/glossar/acetat.md"
"adaptive-fashion","Adaptive Fashion","adaptive-fashion","https://eskyna.com/glossar/adaptive-fashion/","published","Stil & Wirkung","","adaptive fashion; was ist adaptive fashion; adaptive fashion","Natalia Kleemann","2026-07-18","https://eskyna.com/images/glossar/adaptive-fashion.png","Glossar-Illustration zu Adaptive Fashion","","","content/de/glossar/adaptive-fashion.md"
